Route,Airline,Manufacturer,Distance,DestState,DestLong,DestAirport,DestLat,OriginLong,OriginAirport,OriginState,OriginLat,Flights,DestCity,OriginCity
DEN-IND,Frontier Airlines Inc.,AIRBUS,977,IN,-86.2943878174,Indianapolis International,39.7173309326,-104.666999817,Denver Intl,CO,39.8584098816,2742,Indianapolis,Denver
DEN-IND,Skywest Airlines Inc.,BOMBARDIER INC,977,IN,-86.2943878174,Indianapolis International,39.7173309326,-104.666999817,Denver Intl,CO,39.8584098816,102,Indianapolis,Denver
SEA-SNA,Alaska Airlines Inc.,BOEING,978,CA,-117.868225098,John Wayne /Orange Co,33.6756591797,-122.309310913,Seattle-Tacoma Intl,WA,47.4489822388,5437,Santa Ana,Seattle
AUS-ORD,Skywest Airlines Inc.,BOMBARDIER INC,978,TX,-97.6698684692,Austin-Bergstrom International,30.1945323944,-87.9044647217,Chicago O'Hare International,IL,41.9795951843,1112,Austin,Chicago
AUS-ORD,American Airlines Inc.,CESSNA,978,IL,-87.9044647217,Chicago O'Hare International,41.9795951843,-97.6698684692,Austin-Bergstrom International,TX,30.1945323944,41,Chicago,Austin
AUS-ORD,American Airlines Inc.,PIPER,978,IL,-87.9044647217,Chicago O'Hare International,41.9795951843,-97.6698684692,Austin-Bergstrom International,TX,30.1945323944,18,Chicago,Austin
AUS-ORD,American Airlines Inc.,MCDONNELL DOUGLAS,978,TX,-97.6698684692,Austin-Bergstrom International,30.1945323944,-87.9044647217,Chicago O'Hare International,IL,41.9795951843,2013,Austin,Chicago
AUS-ORD,American Airlines Inc.,BEECH,978,TX,-97.6698684692,Austin-Bergstrom International,30.1945323944,-87.9044647217,Chicago O'Hare International,IL,41.9795951843,29,Austin,Chicago
AUS-ORD,Mesa Airlines Inc.,BOMBARDIER INC,978,TX,-97.6698684692,Austin-Bergstrom International,30.1945323944,-87.9044647217,Chicago O'Hare International,IL,41.9795951843,436,Austin,Chicago
RSW-STL,Southwest Airlines Co.,BOEING,979,FL,-81.7551651001,Southwest Florida International,26.5361671448,-90.359992981,Lambert-St Louis International,MO,38.7476882935,118,Ft. Myers,St Louis
RSW-STL,American Airlines Inc.,MCDONNELL DOUGLAS,979,FL,-81.7551651001,Southwest Florida International,26.5361671448,-90.359992981,Lambert-St Louis International,MO,38.7476882935,438,Ft. Myers,St Louis
RSW-STL,American Airlines Inc.,CESSNA,979,FL,-81.7551651001,Southwest Florida International,26.5361671448,-90.359992981,Lambert-St Louis International,MO,38.7476882935,4,Ft. Myers,St Louis
RSW-STL,American Airlines Inc.,BEECH,979,FL,-81.7551651001,Southwest Florida International,26.5361671448,-90.359992981,Lambert-St Louis International,MO,38.7476882935,14,Ft. Myers,St Louis
MSP-PHL,Northwest Airlines Inc.,MCDONNELL DOUGLAS,980,MN,-93.2169189453,Minneapolis-St Paul Intl,44.8805465698,-75.2411422729,Philadelphia Intl,PA,39.8719520569,72,Minneapolis,Philadelphia
MSP-PHL,US Airways Inc.,AIRBUS,980,PA,-75.2411422729,Philadelphia Intl,39.8719520569,-93.2169189453,Minneapolis-St Paul Intl,MN,44.8805465698,2,Philadelphia,Minneapolis
MSP-PHL,Northwest Airlines Inc.,AIRBUS,980,PA,-75.2411422729,Philadelphia Intl,39.8719520569,-93.2169189453,Minneapolis-St Paul Intl,MN,44.8805465698,2929,Philadelphia,Minneapolis
MSP-PHL,Northwest Airlines Inc.,BOEING,980,PA,-75.2411422729,Philadelphia Intl,39.8719520569,-93.2169189453,Minneapolis-St Paul Intl,MN,44.8805465698,8,Philadelphia,Minneapolis
MSP-PHL,US Airways Inc.,EMBRAER,980,MN,-93.2169189453,Minneapolis-St Paul Intl,44.8805465698,-75.2411422729,Philadelphia Intl,PA,39.8719520569,288,Minneapolis,Philadelphia
ABQ-MSP,Northwest Airlines Inc.,AIRBUS,981,MN,-93.2169189453,Minneapolis-St Paul Intl,44.8805465698,-106.609191895,Albuquerque International,NM,35.040222168,1354,Minneapolis,Albuquerque
MSP-RDU,Northwest Airlines Inc.,AIRBUS,981,NC,-78.7874755859,Raleigh-Durham International,35.8776397705,-93.2169189453,Minneapolis-St Paul Intl,MN,44.8805465698,1452,Raleigh,Minneapolis
DTW-TPA,AirTran Airways Corporation,BOEING,983,MI,-83.3488388062,Detroit Metropolitan-Wayne County,42.212059021,-82.5332489014,Tampa International,FL,27.9754714966,106,Detroit,Tampa
DTW-TPA,Northwest Airlines Inc.,AIRBUS,983,MI,-83.3488388062,Detroit Metropolitan-Wayne County,42.212059021,-82.5332489014,Tampa International,FL,27.9754714966,896,Detroit,Tampa
DTW-TPA,Northwest Airlines Inc.,BOEING,983,FL,-82.5332489014,Tampa International,27.9754714966,-83.3488388062,Detroit Metropolitan-Wayne County,MI,42.212059021,1860,Tampa,Detroit
DTW-TPA,Northwest Airlines Inc.,MCDONNELL DOUGLAS,983,MI,-83.3488388062,Detroit Metropolitan-Wayne County,42.212059021,-82.5332489014,Tampa International,FL,27.9754714966,12,Detroit,Tampa
DFW-MCO,American Airlines Inc.,GULFSTREAM AEROSPACE,984,TX,-97.0372009277,Dallas-Fort Worth International,32.8959503174,-81.3160247803,Orlando International,FL,28.4288883209,2,Dallas-Fort Worth,Orlando
